Model,Accuracy (%),Precision,Recall,F1-Score
SVM (baseline),94.56521739130434,0.9500060079276204,0.9456521739130435,0.9455936402491056
1D-CNN,88.90086206896551,0.8978194553812429,0.8890086206896551,0.888628408441637
LSTM (Augmented),99.56896551724138,0.9957785282616424,0.9956896551724138,0.9956891775189534
1D-CNN (Precomputed Data),61.08695652173913,0.569944321984472,0.6108695652173913,0.5752699573082961
CNN + Fuzzy System,88.90086206896551,0.8978194553812429,0.8890086206896551,0.888628408441637
